"X","ENTREZID","logFC","logCPM","LR","PValue","FDR","SYMBOL"
8236,134111,10.3103634374053,5.15729053815824,12.1034026676329,0.0005032989334135,0.0377873735799516,"UBE2QL1"
8348,1379,-8.88527186946964,2.42617348343283,25.5425590680689,4.32731649334388e-07,0.000132099478759175,"CR1L"
8392,139065,9.96077434147855,4.81434278763738,12.839634418608,0.000339353908973842,0.0283360513993158,"SLITRK4"
8404,139285,8.81068792262008,3.7493768453574,11.6239716077744,0.000651072284517976,0.043697262783606,"AMER1"
8501,140809,-3.56520524329868,4.96141219411507,13.3078221342778,0.000264301177966341,0.0242048723950465,"SRXN1"
8519,140876,-4.52295395834151,4.821301401748,16.6909076195191,4.39913362371393e-05,0.00618274275134844,"RIPOR3"
8601,1440,-8.01334606374695,1.60221825944469,15.8757903350358,6.76384353263023e-05,0.00827079825099484,"CSF3"
8653,145165,-3.23523784559223,4.11616459137938,11.8263305674745,0.000583989675910662,0.0414486672477592,"ST13P4"
8727,146395,8.89942916286073,4.02540553673093,13.2598879299626,0.000271145858636737,0.0245937090309807,"GSG1L"
8848,148014,9.13783772791637,4.1684047817248,12.0859671733347,0.00050802740975805,0.0377873735799516,"TTC9B"
8969,150000,-8.74807527406104,2.29119618802586,23.8115736174328,1.06241727534593e-06,0.000266920588027178,"ABCC13"
9041,1510,-8.42698687687349,1.98184429489161,20.162953893202,7.11169878603909e-06,0.00137347706486836,"CTSE"
9405,1604,-5.34232741563992,5.12897144329584,20.0772222018772,7.43772439372957e-06,0.00140810771784095,"CD55"
9474,162466,-10.9221074525169,8.30588980993586,55.1351904618271,1.12518259127018e-13,4.1909637479262e-10,"PHOSPHO1"
9815,1805,-9.67246517538477,3.23515280491562,36.4612118397815,1.55734726306773e-09,1.22814135551369e-06,"DPT"
9831,1820,-4.24100544017832,4.15978970838141,16.7632027390599,4.23465777175868e-05,0.00604130322312708,"ARID3A"
9841,183,6.03413666255595,7.38748681574357,13.3546313694844,0.000257785208919586,0.0237614353286593,"AGT"
9873,1870,-8.43382796720173,6.34494528032478,44.1805079586816,2.9944826377347e-11,4.18933103251506e-08,"E2F2"
9930,1953,-3.97631901450034,3.5808166700323,15.6137537892281,7.76874554877614e-05,0.00930492591443269,"MEGF6"
10050,2000,-3.95295973973167,3.47196587488277,12.5048295959462,0.000405901364800022,0.0319824302413892,"ELF4"
10080,200407,9.29969011605037,4.35171509011783,12.7074445875515,0.000364202770955992,0.0292909820607382,"CREG2"
10218,203447,-7.4311726850645,1.11997362567151,11.6477965879782,0.000642786266769528,0.0436519872232775,"NRK"
10219,2035,-8.10286485667068,10.4838241832338,30.643375502935,3.10083485138134e-08,1.37551095985494e-05,"EPB41"
10228,2038,-13.3116685378239,6.90530639911186,63.6638799180818,1.47565598794061e-15,4.1893873497634e-11,"EPB42"
10230,2039,-4.63018799587513,8.70527573542024,12.3248427580964,0.000446969586310751,0.034576203148126,"DMTN"
10237,2043,9.90884995050506,4.87127538075771,12.7287253871313,0.000360081867028255,0.0291245703844221,"EPHA4"
10309,2115,5.69969197322452,5.23699424356994,13.5148149422751,0.000236687470934419,0.0219593375811378,"ETV1"
10314,212,-11.9721801783698,10.7865203371621,44.0259381790556,3.24053040537975e-11,4.18933103251506e-08,"ALAS2"
10322,213,-8.01334606374695,1.60221825944469,15.8952460688499,6.6946664109306e-05,0.00827079825099484,"ALB"
10469,220,-7.49554263021099,5.66623537239672,44.022396286495,3.24639953206521e-11,4.18933103251506e-08,"ALDH1A3"
10493,220296,6.31885561988246,6.49451777167023,14.090029448372,0.000174265087204825,0.0173592485113859,"HEPACAM"
10517,220972,-5.40648259283717,8.16876194531231,23.5134731952782,1.2404207642323e-06,0.000306222134752653,"MARCHF8"
10538,221150,-7.18281420687993,3.6245979800374,24.0548487993588,9.36301887744698e-07,0.000250194379467875,"SKA3"
10572,221476,-6.43356929549997,5.04187229932622,24.3795213754751,7.91051435579915e-07,0.00021594182938571,"PI16"
10602,2219,-8.94927261290968,2.48958525732672,26.5519589587465,2.5654444887534e-07,8.27647375405785e-05,"FCN1"
10615,222008,9.75642948298222,4.58686833949718,13.7109824888868,0.000213204070299961,0.0205072524600589,"VSTM2A"
10663,2235,-7.30007554852991,8.68565374977213,34.3699686500101,4.55700792132475e-09,3.00868499735837e-06,"FECH"
10679,2252,-11.5421869783387,5.12985932886058,55.9291559516322,7.51300705971127e-14,3.55490450708672e-10,"FGF7"
10756,22865,9.45132296597768,4.30902798156077,12.9997588729678,0.000311531090987413,0.0266396616660622,"SLITRK3"
10822,22934,-3.69648145614427,3.96969389579733,15.1952849378586,9.69451800212857e-05,0.0110090946432172,"RPIA"
10854,22987,9.35749606936188,4.19627092431579,12.3413546625524,0.000443033412844209,0.0344595029880742,"SV2C"
10945,2309,-3.71934125070835,7.7679311058892,11.7887916673404,0.000595884000377989,0.0419712898150998,"FOXO3"
10977,23127,9.08286949856084,4.42614423834919,14.2990543447125,0.000155943199867841,0.0160406791458261,"COLGALT2"
11307,23515,-3.9970346179235,7.21571323744373,16.1125164230221,5.96882466596144e-05,0.00766764399396585,"MORC3"
11368,23582,-6.1915969374601,6.40048706229071,33.8469784971644,5.96216164538074e-09,3.84694929800817e-06,"CCNDBP1"
11390,23607,-3.47141314856571,5.4774229449227,11.5973058600581,0.000660474310595098,0.0440161166145419,"CD2AP"
11391,23608,-5.73894778283622,9.10525532145543,22.2476407621989,2.39653063267678e-06,0.000531543005169484,"MKRN1"
11441,23708,-3.5162987649733,6.40251007512083,12.880124508358,0.000332090145124632,0.0279721404199453,"GSPT2"
11445,23732,9.21535563182457,4.09919617070705,11.6614854968388,0.00063807370221804,0.0436503913396871,"FRRS1L"
11454,23762,-3.82785768953344,6.94750981299676,12.2462224764847,0.00046620100066816,0.0356750577061161,"OSBP2"
11461,23770,-4.8902923232633,9.73905349931055,16.6912276422546,4.39839157988713e-05,0.00618274275134844,"FKBP8"
11555,2512,-4.62692521067079,10.1167650668723,13.7335731278277,0.000210655049420372,0.0203418260307632,"FTL"
