"","ENTREZID","logFC","logCPM","LR","PValue","FDR","SYMBOL"
"94","100036566",2.91934830313801e-05,0.0837419742075514,-2.81857380918723e-12,1,1,"SNORD115-45"
"95","100036567",0,-0.399843666772083,0,1,1,"SNORD115-47"
"96","100037417",0.668712089801578,1.77280050843643,0.172864861801983,0.677578164614838,1,"DDTL"
"97","100038246",0,-0.399843666772083,0,1,1,"TLX1NB"
"98","10004",2.6298310497837,-0.139635923087805,-1.08395519742644e-08,1,1,"NAALADL1"
"99","100048912",1.87805307310348,-0.262495268195724,2.3622071867576e-07,0.999612207828456,1,"CDKN2B-AS1"
"100","100049076",-0.0604986030460818,1.11800722114908,0.000872831435428933,0.976430950033778,1,"GUSBP17"
"101","100049587",0.760556692541615,2.23626415210645,0.224442182394593,0.635675845197851,1,"SIGLEC14"
"102","100049613",3.54095493377317,0.0610534560437156,0.64444957128086,0.422104120884358,1,"TRK-TTT3-4"
"103","100049614",1.9837770639329e-05,-0.220206995952971,-2.14550548882711e-12,1,1,"TRV-CAC1-5"
"104","100049716",4.47941502912174,0.609910154912754,1.26498381263745,0.260709826825727,0.894010764443947,"NINJ2-AS1"
"105","10005",-0.641658489166737,2.82244061328678,0.332752318350769,0.564042900139469,1,"ACOT8"
"106","10006",0.229348881906222,5.4755002649594,0.049140063412738,0.824566440373546,1,"ABI1"
"107","10007",0.932999645013457,2.74878915794876,0.529726558761085,0.466721842533356,1,"GNPDA1"
"108","100073347",3.17258470324741,-0.0451627894585558,0.509344849841693,0.475422603174704,1,"MIMT1"
"109","10008",-1.75396613348045,1.28464738241683,1.23478122498494,0.266479214696206,0.902247454409696,"KCNE3"
"110","10009",1.56624229983141,4.87440814580624,2.11027951555138,0.146312590640624,0.71322363466472,"ZBTB33"
"111","100093630",-0.552542383153342,2.41266327446659,0.18002179622036,0.671354509884918,1,"SNHG8"
"112","100093631",1.15385038952128,5.75532442368393,1.34437834983598,0.246263310830394,0.877857523309061,"GTF2IP4"
"113","100093698",0,-0.399843666772083,0,1,1,"GS1-600G8.3"
"114","1001",0.63394817879523,2.52603687523718,0.229639677980607,0.631791130612167,1,"CDH3"
"115","10010",-2.8870883782733,5.43126597196111,10.2572140951031,0.00136151128966315,0.0736253438353084,"TANK"
"116","100101115",0,-0.399843666772083,0,1,1,"TTTY21B"
"117","100101116",0,-0.399843666772083,0,1,1,"TTTY1B"
"118","100101117",0,-0.399843666772083,0,1,1,"TTTY2B"
"119","100101118",0,-0.399843666772083,0,1,1,"TTTY8B"
"120","100101120",0,-0.399843666772083,0,1,1,"TTTY7B"
"121","100101121",0,-0.399843666772083,0,1,1,"TTTY23B"
"122","100101148",-1.86805280401094,1.18621823774802,1.13348479916851,0.287033243778683,0.932009472301919,"LOC100101148"
"123","100101266",5.95662104934766,1.34079530152139,2.75613267854161,0.096882181161902,0.606460905927903,"HAVCR1P1"
"124","100101267",0.0596451421511505,5.87065651552386,0.00401442054734106,0.949480272512992,1,"POM121C"
